label	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg
sample	AMK3_Tumor_Treg#1	AMK5_Tumor_Treg#2	AMK6_Tumor_Treg#3	AMK5_Normal_Treg#1	AMK6_Normal_Treg#2	AMK7_Normal_Treg#3	AMK7_Tumor_Treg#4	AMK9_Tumor_Treg#6	AMK10_Tumor_Treg#7	AMK11_Tumor_Treg#8	AMK12_Tumor_Treg#9	AMK13_Tumor_Treg#10	AMK14_Tumor_Treg#11	AMK15_Tumor_Treg#12	AMK8_Normal_Treg#4	AMK10_Normal_Treg#5	AMK11_Normal_Treg#6	AMK15_Normal_Treg#9
7SK	0	0	13	1	4	6	3	2	2	0	0	0	8	3	2	0	7	6
A1BG	2	8	6	4	10	10	3	0	3	0	7	1	0	3	3	1	1	6
A1BG-AS1	9	19	9	13	9	10	39	14	14	22	2	5	11	9	16	26	2	44
A1CF	5	0	4	6	21	12	0	4	0	0	8	4	6	8	4	3	1	8
A2M	106	1	14	23	127	42	0	24	21	14	48	25	22	46	59	308	205	198
A2M-AS1	13	0	3	4	13	4	2	9	25	0	7	5	0	3	10	53	41	59
A2ML1	9	1	13	4	14	17	1	0	0	1	2	2	6	8	0	3	7	0
A2ML1-AS1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	22	2	9	12	3	4	4	5	3	1	20	1	9	4	0	28	4	53
A3GALT2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
A4GALT	0	6	0	0	1	0	1	10	0	5	0	0	4	1	3	0	0	3
A4GNT	2	0	0	3	0	3	0	0	2	0	0	0	3	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AAAS	86	74	44	82	60	66	347	95	112	243	135	104	138	138	87	120	90	140
AACS	28	34	30	22	14	12	119	18	56	126	34	27	44	63	57	100	32	32
AACSP1	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0
AADAC	0	0	0	7	0	0	0	0	0	0	1	1	5	4	0	0	0	0
AADACL2	7	0	8	9	6	4	0	0	0	0	0	0	4	6	0	0	0	3
AADACL2-AS1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AADACL3	7	0	0	0	6	7	0	0	0	0	0	0	0	24	0	0	0	0
