label	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg	treg
sample	AMK3_Tumor_Treg#1	AMK5_Tumor_Treg#2	AMK6_Tumor_Treg#3	AMK5_Normal_Treg#1	AMK6_Normal_Treg#2	AMK7_Normal_Treg#3	AMK7_Tumor_Treg#4	AMK9_Tumor_Treg#6	AMK10_Tumor_Treg#7	AMK11_Tumor_Treg#8	AMK12_Tumor_Treg#9	AMK13_Tumor_Treg#10	AMK14_Tumor_Treg#11	AMK15_Tumor_Treg#12	AMK8_Normal_Treg#4	AMK10_Normal_Treg#5	AMK11_Normal_Treg#6	AMK15_Normal_Treg#9
7SK	0	0	13	1	4	6	3	2	2	0	0	0	8	3	2	0	7	6
A1BG	2	8	6	4	10	10	3	0	3	0	7	1	0	3	3	1	1	6
A1BG-AS1	9	19	9	13	9	10	39	14	14	22	2	5	11	9	16	26	2	44
A1CF	5	0	4	6	21	12	0	4	0	0	8	4	6	8	4	3	1	8
A2M	106	1	14	23	127	42	0	24	21	14	48	25	22	46	59	308	205	198
A2M-AS1	13	0	3	4	13	4	2	9	25	0	7	5	0	3	10	53	41	59
A2ML1	9	1	13	4	14	17	1	0	0	1	2	2	6	8	0	3	7	0
A2ML1-AS1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	22	2	9	12	3	4	4	5	3	1	20	1	9	4	0	28	4	53
A3GALT2	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
A4GALT	0	6	0	0	1	0	1	10	0	5	0	0	4	1	3	0	0	3
A4GNT	2	0	0	3	0	3	0	0	2	0	0	0	3	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AAAS	86	74	44	82	60	66	347	95	112	243	135	104	138	138	87	120	90	140
AACS	28	34	30	22	14	12	119	18	56	126	34	27	44	63	57	100	32	32
AACSP1	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0
AADAC	0	0	0	7	0	0	0	0	0	0	1	1	5	4	0	0	0	0
AADACL2	7	0	8	9	6	4	0	0	0	0	0	0	4	6	0	0	0	3
AADACL2-AS1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AADACL3	7	0	0	0	6	7	0	0	0	0	0	0	0	24	0	0	0	0
AADACL4	0	1	0	0	1	1	0	0	0	0	2	0	2	2	0	0	0	2
AADACP1	1	0	2	3	1	0	0	0	0	0	1	0	7	0	1	0	0	0
AADAT	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	3	0	0
AAED1	2	5	10	10	1	1	39	7	28	17	3	8	8	12	21	11	2	2
AAGAB	156	183	129	261	133	166	352	112	209	136	195	109	95	146	137	179	71	136
AAK1	742	444	554	784	587	609	742	356	725	611	825	277	355	566	568	1216	649	420
AAMDC	12	39	10	23	24	16	25	20	3	22	7	7	4	7	5	7	8	0
AAMP	182	163	121	277	78	81	300	24	145	104	115	92	70	128	199	114	90	129
AANAT	1	0	5	0	0	0	0	0	5	0	1	0	0	6	3	3	0	0
AAR2	75	44	73	107	31	81	106	42	107	11	63	72	33	59	62	105	67	45
AARD	0	0	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AARS	152	135	75	147	35	59	439	30	294	374	193	89	217	274	231	326	100	193
AARS2	67	43	43	140	57	45	144	74	110	154	76	54	42	76	128	212	125	128
AARSD1	10	14	6	10	15	12	13	14	4	12	3	15	11	9	19	25	23	18
AARSP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	72	57	73	65	70	63	59	23	9	38	69	20	64	56	85	78	68	37
AASDHPPT	157	156	87	205	125	114	235	96	137	136	103	64	82	53	77	84	63	65
AASS	5	19	31	40	54	14	2	1	15	9	21	26	38	17	122	59	19	32
AATBC	4	3	2	6	0	2	1	2	0	0	0	0	0	19	0	1	0	19
AATF	231	256	179	330	144	152	536	149	390	210	273	166	183	280	243	227	163	212
AATK	0	0	0	5	1	1	4	0	4	2	5	1	2	5	5	5	4	2
AATK-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
AB015752.1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0
ABALON	2	2	1	0	3	5	1	3	0	0	5	4	3	2	6	3	1	2
ABAT	72	83	69	69	65	33	108	70	72	105	76	43	48	88	23	71	38	17
ABBA01000935.2	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0
ABBA01006766.1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABBA01006766.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031660.1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031661.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ABBA01031663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031674.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABBA01040607.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	69	21	69	72	77	93	139	23	5	39	132	43	159	86	51	28	120	33
ABCA10	0	11	2	13	28	11	2	2	1	10	13	3	5	23	0	32	5	19
ABCA11P	4	4	0	4	7	1	1	0	0	10	1	7	2	2	7	3	7	1
ABCA12	6	2	24	14	24	12	8	0	22	6	1	6	9	21	0	6	2	23
ABCA13	6	9	25	9	26	13	2	3	1	0	16	5	7	14	2	0	0	34
ABCA17P	11	3	8	11	1	0	1	5	0	18	4	4	3	14	0	3	5	3
ABCA2	51	56	17	76	25	34	70	4	50	57	27	32	51	35	18	20	4	23
ABCA3	5	8	11	7	11	21	27	13	27	15	5	11	2	5	4	7	22	13
ABCA4	7	0	5	16	13	9	0	0	0	4	3	1	2	7	0	0	3	9
ABCA5	176	101	94	89	196	130	148	154	119	216	207	127	191	149	165	324	245	96
ABCA6	2	1	9	0	1	5	3	0	0	0	3	1	16	28	0	0	4	7
ABCA7	59	98	72	197	88	103	260	194	190	442	251	205	302	380	292	541	282	229
ABCA8	6	0	10	7	15	3	1	0	0	3	7	0	6	22	0	0	0	15
ABCA9	4	1	9	6	5	25	0	4	0	0	3	3	5	12	18	0	4	0
ABCA9-AS1	2	0	1	3	2	10	0	0	0	0	6	0	2	0	0	0	0	0
ABCB1	3	2	9	22	36	78	2	0	10	6	10	41	42	30	46	23	39	10
ABCB10	39	55	19	62	13	32	158	58	80	36	36	21	31	72	18	83	43	16
ABCB10P1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	6	0	12	6	8	18	0	0	1	0	6	2	14	10	0	0	1	1
ABCB4	6	1	9	12	21	20	0	2	0	0	1	5	5	8	3	3	9	1
ABCB5	0	0	17	0	17	0	5	4	2	20	7	2	5	28	0	0	3	37
ABCB6	0	0	7	8	13	1	21	20	13	8	2	0	0	5	2	15	5	1
ABCB7	230	167	76	226	63	103	295	119	183	156	143	90	86	137	124	198	97	79
ABCB8	45	66	58	93	43	36	140	95	146	129	96	62	67	92	94	56	67	24
ABCB9	4	5	8	4	1	13	9	4	6	2	2	2	9	8	7	3	10	4
ABCC1	243	86	128	222	81	88	272	130	291	272	265	115	220	212	270	502	125	182
ABCC10	106	227	111	192	105	206	468	193	261	298	261	110	166	261	236	248	160	130
ABCC11	2	5	4	0	2	6	0	0	0	2	1	2	0	17	0	1	3	8
ABCC12	3	1	14	11	6	3	5	1	1	0	0	8	4	10	0	0	2	2
ABCC13	7	0	6	4	7	10	0	0	0	0	1	0	11	5	2	0	0	22
ABCC2	4	0	9	18	11	45	27	18	4	10	22	20	13	30	3	14	9	6
ABCC3	2	0	16	8	3	5	0	0	3	0	1	0	0	11	0	0	1	16
ABCC4	20	59	39	78	20	38	71	29	44	45	39	31	62	95	31	51	66	27
ABCC5	82	128	73	202	59	125	228	92	97	115	82	24	85	119	117	179	80	53
ABCC5-AS1	0	0	3	4	1	0	0	0	0	0	0	0	0	1	0	7	0	3
ABCC6	2	6	5	23	3	5	1	4	12	3	6	2	4	11	7	17	10	17
ABCC6P1	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	3
ABCC6P2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	1	0	0	0	4	1	0	0	0	0	2	1	1	17	3	0	0	13
ABCC9	36	1	22	2	13	8	0	0	0	0	2	13	20	24	0	3	2	8
ABCD1	1	3	5	3	6	5	29	12	10	28	31	33	46	32	12	15	5	13
ABCD1P2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
